filename,category,tags,Description,permalink,year,Label,lat,lng
sa6487.jpg,Archivio Forte di Oga,abiti|borghi|cerimonie|processioni|spose,"Matrimonio a S. Antonio - Il corteo nuziale passa lungo la via, vicino alla chiesa; in testa al corteo la sposa, Amalia, una ragazza milanese di 24 anni, accompagnata dal padre. Da notare l'eleganza dell'abito da sposa; il padre era un venditore di stoffe.",https://siamoalpi.it/archivio/scheda/?id=6487,1945,Cerimonie feste e fiere,46.458221,10.42587
sa6488.jpg,Archivio Forte di Oga,borghi|edifici scolastici,"Scuola elementare - La scuola elementare di S. Antonio Morignone. Davanti all'edificio si trovano dei tronchi di legna accatastati. Sullo sfondo sono visibili prati coltivati e l'abitato di S. Antonio Morignone, che è stato distrutto dall'alluvione e dalla frana del luglio 1987.",https://siamoalpi.it/archivio/scheda/?id=6488,1927,Scuola,46.458221,10.42587
sa6489.jpg,Archivio Forte di Oga,affreschi|case|chiese|donne|fontane|monumenti,"Chiesa e casa parrocchiale - La piazza col lavatoio nelle vicinanze della chiesa di S. Antonio Morignone. Si notano sulla facciata dell'edificio gli affreschi e la lapide in ricordo dei sei caduti della Grande Guerra di S. Antonio Morignone. In primo piano il lavatoio del paese con tre donne indaffarate a fare il bucato e, sulla destra, la casa parrocchiale che d'estate ospitava le colonie.",https://siamoalpi.it/archivio/scheda/?id=6489,1960,Chiese e religione,46.458221,10.42587
sa6490.jpg,Archivio Forte di Oga,chiese|religiosi|riti,"Festa degli ulivi - Festa e benedizione degli ulivi durante la domenica delle Palme, a S. Bartolomeo. Da notare che, nonostante la frana del 1987 abbia diviso gli abitanti del borgo, la comunità in queste occasioni di festa si ritrova insieme. Archivio Rita Sosio.",https://siamoalpi.it/archivio/scheda/?id=6490,1991,Chiese e religione,43.921909,8.103248
sa6491.jpg,Archivio Forte di Oga,agricoltori|agricoltura|attrezzi agricoli|pascoli,"Fienagione - La signora Amalia rastrella sopra la frazione di S. Antonio Morignone insieme ad un uomo, lungo la strada che porta a S. Bartolomeo. Sullo sfondo si intravedono l'abitato e la chiesa del borgo.",https://siamoalpi.it/archivio/scheda/?id=6491,1950,Agricoltura e pastorizia,46.458221,10.42587
sa6492.jpg,Archivio Forte di Oga,attrezzi agricoli|contadini|fienagione|pascoli,"Fienagione sui monti - A far fieno a Frascinè: i due uomini stanno formando i mucchi di fieno secco che poi verranno portati con la slitta di legno nel fienile. Solo d'inverno si trasporterà a valle con la slitta (la ""lolza""), sulla neve.",https://siamoalpi.it/archivio/scheda/?id=6492,1975,Agricoltura e pastorizia,46.426422,10.355576
sa6493.jpg,Archivio Forte di Oga,attrezzi agricoli|baite|famiglie|fienagione|slitte,"Il carico del fieno - Famiglia al lavoro sul monte Frascinè, vicino a Gotrosio per il carico del fieno sulla slitta di legno, la ""lolza"". Il gruppo di persone è composto da due donne, due ragazze di 15 anni e il papà Oreste Praolini sulla slitta.",https://siamoalpi.it/archivio/scheda/?id=6493,1970,Agricoltura e pastorizia,46.426422,10.355576
sa6494.jpg,Archivio Forte di Oga,animali|attrezzi agricoli|donne|famiglie|fienagione,"Riposo dopo la fienagione - Riposo con tutta la famiglia dopo la fienagione. In primo piano la slitta adibita al trasporto del fieno, vuota perchè è stata scaricata nel fienile; il fieno verrà trasportato a valle solo d'inverno, con la neve.",https://siamoalpi.it/archivio/scheda/?id=6494,1970,Agricoltura e pastorizia,46.426422,10.355576
sa6495.jpg,Archivio Forte di Oga,animali|baite|famiglie|fienagione,"Merenda - Merenda e riposo dopo la fienagione, con tutta la famiglia e il cane a Frascinè, vicino a Gotrosio. Si vedono anche i fienili dove viene immagazzinato il fieno che verrà portato a valle con le slitte d'inverno.",https://siamoalpi.it/archivio/scheda/?id=6495,1970,Agricoltura e pastorizia,46.426422,10.355576
sa6496.jpg,Archivio Forte di Oga,bambini|case|tempo libero,"Bambini che giocano - I bambini, grandi e piccoli, come era consuetudine un tempo giocano in strada. Da notare la strada sterrata della contrada e, vicino alle case, le cataste di legna e le pile di rami pronti per essere tagliati a piccoli pezzi e alimentare la stufa.",https://siamoalpi.it/archivio/scheda/?id=6496,1960,Tempo libero,46.426426,10.35557
sa6497.jpg,Archivio Forte di Oga,bambini|case|strade,"Bimbi e letame - Bambini sulla strada sterrata di Pedemonte a Cepina. Si notano numerosi oggetti e arredi fuori da una casa perchè nel periodo di Pasqua era abitudine svuotare le case per pulirle completamente e riordinarle. Sulla destra si può notare un mucchio di letame, non lontano da casa: un tempo c'erano molte stalle e nessuno si preoccupava dell'odore del letame raccolto in mucchi.",https://siamoalpi.it/archivio/scheda/?id=6497,1960,Tempo libero,46.426426,10.35557
sa6498.jpg,Archivio Forte di Oga,acque minerali|bambini|case|fontane,Fontana con lavatoio - Due bambini sono seduti sulla fontana con lavatoio a Pedemonte - Cepina. Si tratta di Adelio e Diana Praolini. Il bambino posa una mano sulla guancia della bambina perchè guardi il fotografo. Si nota che gli orti vicino alle case sono recintati da staccionate in legno.,https://siamoalpi.it/archivio/scheda/?id=6498,1967,Acqua ,46.426426,10.35557
sa6499.jpg,Archivio Forte di Oga,abiti|bambini|donne|famiglie,"Abiti in panno - Donne e bambine della stessa famiglia sono in posa davanti alla casa dove vivono, a Frascinè, vicino a Gotrosio. Da notare i caratteristici abiti in panno indossati da adulti e bambini, tutti dello stesso modello.",https://siamoalpi.it/archivio/scheda/?id=6499,1910,Abbigliamento e moda,46.426422,10.355576
sa6500.jpg,Archivio Forte di Oga,alimenti|baite|bambini|utensili da cucina,"Far polenta - Un uomo, accompagnato da un bambino, si trova al proprio monte, a Campaccio, con il mestolo (""raspa"") e il paiolo (""stegn"") della polenta in mano. Probabilmente si accinge a lavare il paiolo, dopo una bella ""polentata"" per la famiglia.",https://siamoalpi.it/archivio/scheda/?id=6500,1975,Cibo e cucina,46.409405,10.31823
sa6501.jpg,Archivio Forte di Oga,alpini|sci|sciatori|valli,Alpino con sci - L'alpino Albino Pietrogiovanna con gli sci e le racchette in legno a monte di Piatta. Sullo sfondo si intravede il versante di Oga con pochissima vegetazione perchè quasi tutto il territorio è ancora sfruttato per pascoli e prati coltivati. Archivio Antonella Binda.,https://siamoalpi.it/archivio/scheda/?id=6501,1916,Ritratti,46.452976,10.373445
sa6502.jpg,Archivio Forte di Oga,bambini|case|donne|strade,A spasso - Una donna e un bambino camminano lungo la strada a Cepina. la strada non è ancora asfaltata ed è delimitata da muretti. Lungo la via poche case. Archivio Gabriella Colturi.,https://siamoalpi.it/archivio/scheda/?id=6502,1980,Tempo libero,46.426426,10.35557
sa6503.jpg,Archivio Forte di Oga,giovani|montagne,"Ragazzi in quota - Gruppo di amici in escursione a Campaccio, in una giornata d'estate. Archivio Gabriella Colturi.",https://siamoalpi.it/archivio/scheda/?id=6503,1976,Tempo libero,46.409405,10.31823
sa6504.jpg,Archivio Forte di Oga,borghi|case|pascoli,"Cepina - In quest'immagine della località Valcepina si può notare la presenza di poche case. Lungo il sentiero in primo piano si notano anche le croci della via Crucis ai Plaz. Non lontano da qui, in località Dosso, in una baita, fu ucciso nel 1797 il famoso ""conte Diavolo"" Galeazzo Lechi, durante i disordini che portarono al passaggio dal dominio Grigione alla repubblica Cisalpina. Archivio Gabriella Colturi.",https://siamoalpi.it/archivio/scheda/?id=6504,1982,Borghi e paesi,46.426426,10.35557
sa6505.jpg,Archivio Forte di Oga,abiti|bambini|case,"Bambino in pericolo - Il bimbo Silo Colturi, di pochi anni, in località vicino a Martinegl, a Cepina. Da notare che il luogo in cui si trova il bambino non è molto sicuro, ma all'epoca non ci si badava tanto. Archivio Gabriella Colturi.",https://siamoalpi.it/archivio/scheda/?id=6505,1931,Tempo libero,46.426426,10.35557
