filename,x,y
3731627531179992817.jpg,-2.2231188,4.8258734
3732523631680165538.jpg,-1.5826249,3.9185596
3733003109706925279.jpg,-6.962767,1.8997182
3733141980839695373.jpg,-3.4476037,10.414063
3733864898502669756.jpg,-4.8365626,4.6837792
3733887484351237981.jpg,-4.9532194,10.548331
3734672216894351802.jpg,-4.4231253,10.435223
3734747551132847538.jpg,-12.469004,1.0837703
3735291076207832085.jpg,-8.854072,-3.9373364
3735374819564030868.jpg,-8.616164,-4.209146
3735417094792853432.jpg,-9.402324,-4.124154
3735777574182725897.jpg,-4.5665426,5.1561913
3737525268509409307.jpg,-8.474212,1.1397438
3737526861262498700.jpg,-11.168632,2.5831482
3737529211742101463.jpg,-6.8925495,3.129504
3737571800260291212.jpg,-5.0196056,11.28958
3737576743658647861.jpg,-10.950993,0.5237171
3738044419241690494.jpg,-6.2710624,-0.9164503
3738056029973049548.jpg,-6.2400727,0.4978145
3738788716782037264.jpg,-4.2243485,11.186842
3739620119539379738.jpg,-4.8061943,0.701608
3741175906942338547.jpg,-5.031068,3.8344688
3741540449086354288.jpg,-11.335571,0.64396816
3742619436072061488.jpg,-7.7365246,2.767604
3743112399709280819.jpg,-0.54226583,0.10429432
3743148904146599865.jpg,-5.9437222,4.168416
3743410878310830680.jpg,-1.5604348,0.0059058964
3743865168552566397.jpg,-8.949808,2.6797352
3744039145698366709.jpg,-8.684964,2.7029462
3745395678689138226.jpg,-7.554169,4.4088
3745486939722275885.jpg,-9.165494,2.6923466
3745529328676230675.jpg,-10.690653,1.8569167
3746946175715562475.jpg,-4.154907,3.5486221
3748823824721259665.jpg,-8.747098,2.3005867
3749120856740871641.jpg,-3.1280227,0.07343311
3749828219223426125.jpg,-6.2186985,5.1986876
3750758238774907360.jpg,-4.4845977,4.2520943
3751762316648542057.jpg,-9.196485,2.39147
3751949088217398239.jpg,-11.693433,1.0806706
3752129545789909082.jpg,-4.656969,10.93078
3752791177062795973.jpg,-3.8559413,0.761045
3752869812100816805.jpg,-4.3758116,11.051942
3753481133158608529.jpg,-8.942586,2.0378475
3754683018821290802.jpg,-4.5200543,9.211188
3757123938225265430.jpg,-6.298057,4.5092196
3757725660903964428.jpg,-8.997443,-1.2516801
3757920329281660218.jpg,-3.7616513,-2.2709954
3758338942916368995.jpg,-9.3647585,-2.7576115
3758365224609545528.jpg,-3.7055767,-0.5667977
3758449880847884083.jpg,-4.2263203,1.3187788
3758512528943783498.jpg,-6.981937,5.2834907
3759347855027390974.jpg,-1.3619425,-2.6397831
3759789575200621791.jpg,-1.3536149,-0.35216317
3760648730803563154.jpg,-2.6643958,-2.0845225
3762186556887915931.jpg,-7.4193425,2.2419243
3763610913711106086.jpg,-4.504771,2.2206504
3764277399958351055.jpg,-5.164249,1.5743065
3764343079151650174.jpg,-4.4080043,8.969106
3764359876592871376.jpg,-5.667515,-0.9592334
3766589987123626126.jpg,-7.705768,1.4289168
